2018-02-15 22:00:42,645 INFO  [TableMetadata] - HHH000126: Indexes: [fk_7fwnajpqa9j4dfaciibethkll, uk_k4uyv9uljtw36cxchatxxhi7d, primary]
2018-02-15 22:00:42,649 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence_evidence
2018-02-15 22:00:42,649 INFO  [TableMetadata] - HHH000037: Columns: [competence, deleted, evidence, created, description, id, title]
2018-02-15 22:00:42,649 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_8ih6dh7gn5uo6jwx9r3pt82sw, fk_nctgqbkwam6fn84i27cyaav2p]
2018-02-15 22:00:42,650 INFO  [TableMetadata] - HHH000126: Indexes: [fk_8ih6dh7gn5uo6jwx9r3pt82sw, fk_nctgqbkwam6fn84i27cyaav2p, primary]
2018-02-15 22:00:42,653 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence_unit
2018-02-15 22:00:42,654 INFO  [TableMetadata] - HHH000037: Columns: [competence, unit, deleted, created, description, id, title]
2018-02-15 22:00:42,654 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_16il9gr3688yooyw91vsiis91, fk_d9i2062693wmimcdyvdr1ynhh]
2018-02-15 22:00:42,654 INFO  [TableMetadata] - HHH000126: Indexes: [fk_16il9gr3688yooyw91vsiis91, uk_7mbm0rkejlh524nk5ieyh24ml, primary]
2018-02-15 22:00:42,658 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence_user_group
2018-02-15 22:00:42,658 INFO  [TableMetadata] - HHH000037: Columns: [competence, inherited_from, user_group, deleted, created, inherited, description, id, privilege, title]
2018-02-15 22:00:42,659 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_60mk2r1qk5llr3p901h5705y6, fk_e9iw7p463kmjjsyuj9r5wmxpe, fk_4b5s1r5gcdytwdbp2pr4rn4v5]
2018-02-15 22:00:42,659 INFO  [TableMetadata] - HHH000126: Indexes: [fk_60mk2r1qk5llr3p901h5705y6, fk_e9iw7p463kmjjsyuj9r5wmxpe, primary, fk_4b5s1r5gcdytwdbp2pr4rn4v5]
2018-02-15 22:00:42,706 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential1
